filename,class,dice,iou
benign_27,benign,0.9411,0.8887
benign_257,benign,0.0108,0.0054
benign_358,benign,0.7896,0.6523
malignant_166,malignant,0.7966,0.662
benign_2,benign,0.9268,0.8636
benign_74,benign,0.9197,0.8513
malignant_82,malignant,0.6059,0.4346
benign_82,benign,0.6602,0.4928
benign_110,benign,0.8498,0.7388
benign_228,benign,0.415,0.2618
benign_420,benign,0.8275,0.7057
malignant_156,malignant,0.7569,0.6088
malignant_62,malignant,0.9045,0.8256
malignant_41,malignant,0.6358,0.4661
benign_235,benign,0.8999,0.818
malignant_170,malignant,0.8677,0.7663
benign_204,benign,0.8425,0.7279
benign_78,benign,0.5827,0.4111
benign_219,benign,0.191,0.1056
malignant_210,malignant,0.7852,0.6464
benign_330,benign,0.96,0.9231
malignant_183,malignant,0.9371,0.8816
benign_286,benign,0.9593,0.9218
benign_431,benign,0.8978,0.8145
benign_249,benign,0.7856,0.6469
benign_326,benign,0.9494,0.9036
benign_129,benign,0.9125,0.839
benign_51,benign,0.9152,0.8436
benign_365,benign,0.8821,0.789
benign_306,benign,0.6185,0.4477
malignant_66,malignant,0.7724,0.6292
benign_53,benign,0.8778,0.7822
malignant_99,malignant,0.7574,0.6095
benign_39,benign,0.8541,0.7453
benign_298,benign,0.0,0.0
benign_334,benign,0.7807,0.6403
benign_332,benign,0.9243,0.8593
malignant_109,malignant,0.5909,0.4193
benign_383,benign,0.6263,0.4559
benign_111,benign,0.9011,0.8201
malignant_22,malignant,0.8034,0.6713
malignant_95,malignant,0.5192,0.3506
benign_29,benign,0.9037,0.8243
malignant_112,malignant,0.8752,0.7781
benign_416,benign,0.0135,0.0068
benign_399,benign,0.9408,0.8882
malignant_141,malignant,0.8379,0.721
benign_422,benign,0.9401,0.887
benign_435,benign,0.8808,0.7869
benign_77,benign,0.8367,0.7193
benign_261,benign,0.9518,0.908
malignant_24,malignant,0.7892,0.6518
malignant_172,malignant,0.3605,0.2199
benign_147,benign,0.8633,0.7595
benign_434,benign,0.9687,0.9394
malignant_71,malignant,0.7842,0.6449
malignant_159,malignant,0.7127,0.5537
benign_139,benign,0.9342,0.8765
benign_423,benign,0.5212,0.3525
malignant_174,malignant,0.6124,0.4413
benign_212,benign,0.0322,0.0164
benign_269,benign,0.4943,0.3283
benign_402,benign,0.6546,0.4866
malignant_157,malignant,0.1206,0.0642
benign_103,benign,0.9434,0.8929
malignant_36,malignant,0.7391,0.5861
benign_411,benign,0.9248,0.8601
benign_69,benign,0.9305,0.87
benign_366,benign,0.9313,0.8715
benign_390,benign,0.9442,0.8943
benign_364,benign,0.8402,0.7245
benign_146,benign,0.8858,0.795
benign_189,benign,0.9065,0.8291
benign_314,benign,0.229,0.1293
benign_144,benign,0.9283,0.8662
benign_382,benign,0.9522,0.9088
malignant_171,malignant,0.7404,0.5878
benign_160,benign,0.9427,0.8916
benign_112,benign,0.9102,0.8352
malignant_85,malignant,0.9119,0.8381
benign_143,benign,0.8876,0.7979
benign_333,benign,0.7525,0.6033
malignant_77,malignant,0.7207,0.5634
malignant_154,malignant,0.913,0.8399
malignant_78,malignant,0.6987,0.5369
benign_149,benign,0.8222,0.6981
benign_276,benign,0.9614,0.9256
benign_136,benign,0.9416,0.8897
benign_336,benign,0.7237,0.5671
benign_405,benign,0.8264,0.7042
benign_180,benign,0.9667,0.9356
benign_24,benign,0.8971,0.8133
benign_340,benign,0.9206,0.8528
malignant_65,malignant,0.7657,0.6203
benign_352,benign,0.8438,0.7299
benign_76,benign,0.9282,0.866
benign_66,benign,0.933,0.8744
benign_400,benign,0.8076,0.6772
benign_275,benign,0.9323,0.8731
benign_331,benign,0.8755,0.7785
benign_209,benign,0.9284,0.8663
benign_107,benign,0.8592,0.7531
benign_145,benign,0.8351,0.7168
benign_290,benign,0.9227,0.8564
benign_22,benign,0.9094,0.8339
benign_274,benign,0.938,0.8832
benign_159,benign,0.5265,0.3573
benign_385,benign,0.9009,0.8197
benign_20,benign,0.7265,0.5705
benign_363,benign,0.9063,0.8287
malignant_7,malignant,0.7667,0.6216
benign_220,benign,0.8542,0.7455
malignant_176,malignant,0.5453,0.3749
malignant_185,malignant,0.9476,0.9004
malignant_201,malignant,0.8685,0.7675
malignant_117,malignant,0.8371,0.7198
benign_259,benign,0.9351,0.8781
benign_418,benign,0.7491,0.5988
benign_156,benign,0.9163,0.8455
malignant_87,malignant,0.9295,0.8682
benign_384,benign,0.711,0.5515
benign_134,benign,0.8915,0.8042
benign_8,benign,0.9288,0.867
benign_285,benign,0.9124,0.839
benign_254,benign,0.4913,0.3256
benign_41,benign,0.7881,0.6503
malignant_10,malignant,0.7509,0.6012
malignant_140,malignant,0.7528,0.6036
malignant_179,malignant,0.6837,0.5194
malignant_13,malignant,0.3682,0.2257
benign_37,benign,0.8902,0.8022
malignant_105,malignant,0.0,0.0
benign_397,benign,0.4345,0.2775
benign_216,benign,0.9341,0.8764
malignant_128,malignant,0.8332,0.7141
benign_42,benign,0.7807,0.6403
malignant_52,malignant,0.8088,0.6789
malignant_18,malignant,0.4698,0.307
benign_355,benign,0.9586,0.9205
malignant_107,malignant,0.0,0.0
malignant_124,malignant,0.8569,0.7496
benign_10,benign,0.9571,0.9177
malignant_191,malignant,0.1718,0.094
benign_185,benign,0.8815,0.7881
malignant_203,malignant,0.7956,0.6606
benign_152,benign,0.9042,0.8251
benign_291,benign,0.8941,0.8085
benign_377,benign,0.7236,0.5669
benign_415,benign,0.7903,0.6533
benign_43,benign,0.8661,0.7637
benign_211,benign,0.7842,0.645
benign_297,benign,0.939,0.885
malignant_68,malignant,0.8743,0.7766
malignant_138,malignant,0.7273,0.5715
benign_258,benign,0.883,0.7906
benign_318,benign,0.9081,0.8317
benign_296,benign,0.8997,0.8177
benign_354,benign,0.9456,0.8967
benign_272,benign,0.1667,0.0909
malignant_25,malignant,0.8254,0.7027
malignant_118,malignant,0.8058,0.6748
benign_84,benign,0.6275,0.4572
benign_313,benign,0.3054,0.1802
benign_410,benign,0.4573,0.2964
benign_14,benign,0.7869,0.6487
benign_404,benign,0.7846,0.6455
malignant_204,malignant,0.5816,0.4101
benign_380,benign,0.9336,0.8754
benign_38,benign,0.9082,0.8318
benign_347,benign,0.8785,0.7833
malignant_72,malignant,0.4314,0.2751
malignant_205,malignant,0.9194,0.8508
benign_226,benign,0.8788,0.7838
benign_182,benign,0.7926,0.6564
benign_174,benign,0.9624,0.9276
malignant_208,malignant,0.6999,0.5383
malignant_12,malignant,0.8401,0.7243
malignant_188,malignant,0.8025,0.6702
benign_155,benign,0.9616,0.926
benign_118,benign,0.8294,0.7086
benign_339,benign,0.9455,0.8965
benign_394,benign,0.0,0.0
malignant_184,malignant,0.7846,0.6456
malignant_119,malignant,0.7916,0.655
malignant_19,malignant,0.8665,0.7645
malignant_48,malignant,0.8482,0.7363
benign_323,benign,0.9397,0.8863
benign_417,benign,0.8209,0.6962
benign_67,benign,0.9006,0.8191
benign_321,benign,0.4158,0.2624
benign_299,benign,0.2791,0.1622
malignant_101,malignant,0.8409,0.7254
malignant_97,malignant,0.4939,0.328
benign_429,benign,0.8162,0.6895
benign_65,benign,0.9556,0.915
benign_252,benign,0.9412,0.8889
malignant_89,malignant,0.7311,0.5761
malignant_130,malignant,0.9023,0.8219
benign_64,benign,0.9197,0.8513
benign_81,benign,0.8947,0.8095
benign_179,benign,0.5758,0.4043
malignant_137,malignant,0.7892,0.6518
malignant_182,malignant,0.4609,0.2994
benign_361,benign,0.9442,0.8943
benign_224,benign,0.8455,0.7323
malignant_189,malignant,0.0835,0.0436
malignant_206,malignant,0.9399,0.8865
benign_338,benign,0.7069,0.5466
malignant_50,malignant,0.7164,0.5582
malignant_175,malignant,0.8318,0.7121
benign_303,benign,0.8595,0.7536
benign_308,benign,0.3437,0.2075
benign_250,benign,0.8774,0.7815
malignant_133,malignant,0.8122,0.6838
benign_277,benign,0.886,0.7954
malignant_60,malignant,0.6777,0.5125
benign_137,benign,0.9054,0.8272
benign_125,benign,0.8731,0.7747
benign_311,benign,0.6013,0.4299
benign_5,benign,0.855,0.7467
benign_324,benign,0.8984,0.8156
malignant_164,malignant,0.8764,0.7801
benign_271,benign,0.8448,0.7313
benign_248,benign,0.1312,0.0702
benign_433,benign,0.8192,0.6938
benign_360,benign,0.5157,0.3474
malignant_67,malignant,0.4025,0.2519
benign_247,benign,0.0286,0.0145
