epoch,stage,train_loss,val_loss,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,tn,fp,fn,tp,learning_rate
1,head,0.6560022422560939,0.5708781331777573,0.7916666666666666,0.734375,0.5625,0.90625,0.75,0.6428571428571429,0.791015625,29,3,7,9,0.001
2,head,0.5617276882683789,0.48560770352681476,0.7083333333333334,0.75,0.875,0.625,0.5384615384615384,0.6666666666666666,0.869140625,20,12,2,14,0.001
3,head,0.5064777784325458,0.4922214448451996,0.6875,0.71875,0.8125,0.625,0.52,0.6341463414634146,0.86328125,20,12,3,13,0.001
4,head,0.5215824836934054,0.4739249696334203,0.7291666666666666,0.75,0.8125,0.6875,0.5652173913043478,0.6666666666666666,0.85546875,22,10,3,13,0.001
5,head,0.48107430407846413,0.4614591598510742,0.7708333333333334,0.78125,0.8125,0.75,0.6190476190476191,0.7027027027027027,0.869140625,24,8,3,13,0.001
6,fine,0.4624050249931989,0.46379321068525314,0.8125,0.8125,0.8125,0.8125,0.6842105263157895,0.7428571428571429,0.865234375,26,6,3,13,0.0001
7,fine,0.40743531769624464,0.4425863288342953,0.7916666666666666,0.796875,0.8125,0.78125,0.65,0.7222222222222222,0.87109375,25,7,3,13,0.0001
8,fine,0.427233686670661,0.4513763338327408,0.8125,0.8125,0.8125,0.8125,0.6842105263157895,0.7428571428571429,0.8671875,26,6,3,13,0.0001
9,fine,0.37538303848769927,0.4644955036540826,0.7291666666666666,0.75,0.8125,0.6875,0.5652173913043478,0.6666666666666666,0.8740234375,22,10,3,13,0.0001
10,fine,0.3828767640171228,0.41088056564331055,0.7708333333333334,0.765625,0.75,0.78125,0.631578947368421,0.6857142857142857,0.8837890625,25,7,4,12,0.0001
11,fine,0.41533492098527924,0.4548779136190812,0.8333333333333334,0.8125,0.75,0.875,0.75,0.75,0.861328125,28,4,4,12,0.0001
