rank,feature,importance,abs_loading_PC1,importance_pct
1,glcm_homogeneity_d1,0.12366407543941384,0.14543673431976106,2.2370819008658342
2,wav_L2_LH_kurt,0.1199926633612903,0.11292705684396379,2.170666092706461
3,wav_L2_LH_entropy,0.11921982538846783,0.1959929296162623,2.156685461426441
4,wav_L1_LH_kurt,0.11857180850831285,0.1561166113376931,2.144962842477493
5,wav_L1_LH_entropy,0.1185568163246161,0.19572386706169273,2.1446916340227875
6,glcm_homogeneity_d4,0.11803972699545902,0.1152044226258542,2.1353374931756757
7,wav_L2_LL_entropy,0.11718618994474814,0.20564125015237664,2.1198970163752877
8,wav_L2_HH_entropy,0.11613578085129396,0.18202103162467972,2.100895126270004
9,wav_L1_LL_entropy,0.11592780712969143,0.20874426068572924,2.097132883704412
10,wav_L1_HL_kurt,0.11528287727874684,0.1706359511177248,2.0854661090833293
11,wav_L1_HH_kurt,0.11457328826782244,0.15485438715191807,2.0726296508981066
12,wav_L2_HL_entropy,0.11398312260966492,0.19168105723840703,2.061953559982572
13,wav_L1_HL_entropy,0.11349938928586978,0.1890360116437695,2.053202828942352
14,wav_L1_HH_entropy,0.11232371626585935,0.20300879233335412,2.0319349156453317
15,int_std,0.11161090448857175,0.0742971526339396,2.0190401576484924
16,wav_L2_HL_kurt,0.11115857534651784,0.11294255205863961,2.010857527945182
17,morph_circularity,0.11062497143364469,0.097115881358209,2.001204638442082
18,morph_irregularity,0.11062497143364465,0.09711588135820896,2.001204638442081
19,wav_L2_HH_kurt,0.10943120701658382,0.16107514019935326,1.9796094519514593
20,glcm_correlation_d1,0.10849382543327599,0.18507334887668947,1.962652228386154
21,glcm_contrast_d4,0.10843348498754542,0.1962174302729126,1.9615606703200434
22,morph_perimeter_px,0.10803549866118257,0.185949570677528,1.9543611016147844
23,wav_L2_HH_energy,0.1071621242103586,0.19805963060146028,1.93856176644267
24,int_delta_perilesional,0.10581738253798652,0.04550036424977097,1.9142354028976039
25,wav_L1_HH_mean,0.10565301356154304,0.14437714157854972,1.9112619697404079
26,glcm_contrast_d1,0.1051305262758411,0.17829195345303187,1.90181017991282
27,morph_area_relative,0.10508786139170868,0.17271862527563875,1.9010383725810946
28,wav_L1_HH_energy,0.10453291974208528,0.17244254152881713,1.89099948363135
29,wav_L1_LH_energy,0.1043835744434525,0.19952107076909603,1.8882978286570684
30,wav_L2_HL_mean,0.10334565320965686,0.1283951759280692,1.8695218438094225
31,wav_L2_HL_energy,0.10292053524128197,0.18043839468734896,1.8618314639686722
32,wav_L1_HL_mean,0.10209679809343117,0.10747824746144226,1.84693006711611
33,glcm_correlation_d4,0.10105790707955492,0.20492701384880815,1.8281365389564035
34,wav_L1_HL_energy,0.1009669351900689,0.1808595421149993,1.8264908583758983
35,glcm_entropy_d1,0.09942188622155666,0.011427899717532435,1.7985409378259847
36,int_skew,0.09940027204135132,0.06190106988444488,1.7981499375199734
37,wav_L2_LH_mean,0.09861026997401567,0.07164955492663017,1.7838588079400735
38,wav_L2_LL_energy,0.09809625257001667,0.04594997218434303,1.77456023818867
39,wav_L1_LL_energy,0.09741715908005538,0.04792357792016224,1.7622754436758732
40,wav_L1_LL_kurt,0.0971831175586441,0.02974156893145681,1.7580416348697194
41,int_kurtosis,0.09649516849302157,0.029710608986167064,1.7455966430808492
42,wav_L2_LL_kurt,0.0962447333625612,0.02922574819315585,1.7410662740492353
43,morph_extent,0.09594165219275298,0.05529877285556087,1.735583538686827
44,wav_L2_LH_energy,0.0957119567772691,0.18256538331280753,1.7314283508938888
45,glcm_entropy_d4,0.09505796082359463,0.004013398349773399,1.7195975705641442
46,wav_L2_LL_mean,0.09360186907913502,0.036866749461391055,1.6932568853169834
47,wav_L1_LL_mean,0.09169758094499288,0.03181690607897573,1.658808331816011
48,int_mean,0.09078077496621782,0.030285610139809283,1.6422233207330785
49,morph_solidity,0.09003472792880603,0.04347811854235846,1.628727337209503
50,wav_L2_HH_mean,0.08954825563881645,0.08339919700916536,1.6199270582979317
51,int_contrast_lesion_bg,0.0833168790906264,0.018729124053358456,1.5072015182095706
52,wav_L1_LH_mean,0.08185541926975293,0.043736132396949075,1.480763724513208
53,morph_aspect_ratio_wh,0.07397730637390891,0.0005363799008472484,1.338248740192601
