feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
int_mean,-0.030285610139809283,0.2742827963655149,0.029786502805838114,-0.025448914786542966,0.21758769599720965,-0.09018042129369287,0.014549326728265958,-0.09872150099926359,0.0009713417745150884,0.07419032937315523,-0.022106304676715476,0.021106021881996274,-0.04135722788644561,-0.0015657020094719688,0.07903098790572638
int_std,-0.0742971526339396,0.06188328454556569,-0.08964826614509715,0.2369252244357315,-0.1835427645833555,0.2885043080638879,0.13000689240715338,-0.2781476093007524,-0.2310230959112123,0.2970346246668879,0.0996985369216638,0.22185914449560323,0.164507828032201,-0.20706604471088047,-0.16393728216599993
int_skew,-0.06190106988444488,-0.24477860467381268,0.004968792646146136,-0.03673942267846694,0.2167433336515464,0.16397054640836578,-0.027189638954245133,-0.06656690654666253,-0.09521744985085841,0.10848078591912352,-0.06738670600082854,-0.09085240211805448,0.07683029472021177,-0.07400796711504315,-0.03655564993055995
int_kurtosis,-0.029710608986167064,-0.21948178838098586,-0.0026819610565300186,-0.13975101785261224,0.33076751491197887,0.13437103079577434,-0.09293660857490528,-0.06050193215324262,-0.11106348268680155,0.058186058245944125,-0.0515932303569142,-0.143550905650073,0.09480179064254209,-0.05183100432540906,-0.06833888393118973
int_contrast_lesion_bg,0.018729124053358456,-0.25884729673739687,-0.03178632586910646,0.007282018337736118,-0.22258794642088287,0.09698657604999905,0.007549763686178046,0.03681862185366247,0.028111617086964993,0.020653332556014814,-0.026180591276751153,-0.058470952827552596,-0.021887318212935686,-0.09471745233564781,0.16251390388972609
int_delta_perilesional,-0.04550036424977097,-0.1772758463256509,0.11707578086786119,0.19081680440528978,-0.08499390392734663,0.13636167624292045,-0.037435998147420255,0.024483567021114816,0.03987270261295481,0.4807602000229494,-0.2885676242128972,-0.08504483745917452,-0.11156086540694543,0.11582374828904905,0.2822369542081702
morph_area_relative,0.17271862527563875,0.0042545632327498665,-0.17250769433397323,0.14139038313604474,0.056620051314040964,0.0513945770602251,0.05213509494718248,-0.04429377468444651,-0.024476009675119863,-0.13348278835204797,-0.10788298313935904,0.011053637659013668,-0.11915544617200538,-0.08837810545082382,0.2129277119631422
morph_perimeter_px,0.185949570677528,0.03167953132120618,-0.17525914542551035,-0.05382518186447893,-0.004477516504257734,0.13706801917316574,-0.005162360073745799,-0.02587666684518103,-0.017411887905665935,-0.01923578097775329,-0.17136053144285626,0.02938579243691024,-0.0971196193870025,0.1263396762784406,0.17817501857220808
morph_circularity,-0.097115881358209,-0.10768970608777398,0.13221534784388686,0.36783404696683564,0.06501965454610256,-0.150058653171656,-0.07509964641311119,-0.03773124353801821,0.012287539241609543,-0.013788325911582355,0.0549870758656673,-0.06725267681866148,0.014297698135957826,-0.05165079655805621,-0.04471385506542486
morph_irregularity,0.09711588135820896,0.10768970608777398,-0.13221534784388686,-0.3678340469668355,-0.06501965454610241,0.15005865317165595,0.07509964641311119,0.0377312435380181,-0.012287539241609483,0.013788325911582133,-0.05498707586566709,0.06725267681866146,-0.014297698135958187,0.05165079655805574,0.04471385506542502
morph_aspect_ratio_wh,-0.0005363799008472484,0.04037266791671672,0.04417892337667723,-0.11461244506578924,0.18691643815345574,0.18354286534229491,0.05919090849152425,0.6368909170014383,0.2471227698878891,0.2770879351245172,0.27395302958299167,0.2775548924782779,0.1936133210360996,-0.29128238976716553,0.11739677548534905
