image_id,label,method,speckle_index,high_frequency_energy,lesion_background_contrast,robust_bilateral_image_path,robust_bilateral_mask_path,robust_nlm_image_path,robust_nlm_mask_path
malignant (168),malignant,raw,0.7095553336947885,0.0013810630560309595,0.5067296399510203,,,,
malignant (168),malignant,robust_bilateral,0.7136284430266004,0.0010292236057560643,0.5132886315986772,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_168.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_168_mask.png,,
malignant (168),malignant,robust_nlm,0.7155596984695503,0.000981843604219599,0.5147500777093723,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_168.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_168_mask.png
benign (325),benign,raw,0.46517686306118733,0.0009716448122890647,0.16410575572568034,,,,
benign (325),benign,robust_bilateral,0.569790098214879,0.0011490367506035222,0.1991627939334701,data\processed\preprocessed\robust_bilateral\benign\images\benign_325.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_325_mask.png,,
benign (325),benign,robust_nlm,0.5711239131200057,0.0011245895446072194,0.20249994992052303,,,data\processed\preprocessed\robust_nlm\benign\images\benign_325.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_325_mask.png
malignant (28),malignant,raw,0.572094066166477,0.0014748208826289115,0.0198884587171229,,,,
malignant (28),malignant,robust_bilateral,0.6858644983694828,0.0014980796553156627,0.020149809272919383,data\processed\preprocessed\robust_bilateral\malignant\images\malignant_28.png,data\processed\preprocessed\robust_bilateral\malignant\masks\malignant_28_mask.png,,
malignant (28),malignant,robust_nlm,0.6896695034846949,0.0014462189502719186,0.023323608190390123,,,data\processed\preprocessed\robust_nlm\malignant\images\malignant_28.png,data\processed\preprocessed\robust_nlm\malignant\masks\malignant_28_mask.png
benign (297),benign,raw,0.7440182918817723,0.00307482408729356,-0.059138595866975924,,,,
benign (297),benign,robust_bilateral,0.77416138030985,0.0021617476199141325,-0.04422986679526691,data\processed\preprocessed\robust_bilateral\benign\images\benign_297.png,data\processed\preprocessed\robust_bilateral\benign\masks\benign_297_mask.png,,
benign (297),benign,robust_nlm,0.7793407061649668,0.0027501625274925974,-0.06677319970042622,,,data\processed\preprocessed\robust_nlm\benign\images\benign_297.png,data\processed\preprocessed\robust_nlm\benign\masks\benign_297_mask.png
