image_id,label,original_image_path,original_mask_path,selected_image_path,selected_mask_path,height,width,n_pixels,image_mean,image_std,image_min,image_max,image_median,image_p05,image_p95,dynamic_range,image_skewness,image_kurtosis_excess,lesion_area_px,lesion_area_fraction,lesion_mean,lesion_std,lesion_min,lesion_max,background_mean,background_std,background_min,background_max,lesion_background_contrast
malignant (168),malignant,data\raw\malignant\malignant (168).png,data\raw\malignant\malignant (168)_mask.png,data\selected\busi_subset\malignant\images\malignant_168.png,data\selected\busi_subset\malignant\masks\malignant_168_mask.png,469,557,261233,91.91586303710938,65.21939086914062,0.0,255.0,88.0,8.0,201.0,255.0,0.3281625509262085,-1.0651596784591675,50109,0.19181726657811227,50.22081756591797,44.95003890991211,0.0,227.0,101.81195068359375,65.36837005615234,0.0,255.0,0.5067296399510203
benign (325),benign,data\raw\benign\benign (325).png,data\raw\benign\benign (325)_mask.png,data\selected\busi_subset\benign\images\benign_325.png,data\selected\busi_subset\benign\masks\benign_325_mask.png,583,613,357379,109.07955932617188,50.74128723144531,0.0,255.0,113.0,30.0,196.0,255.0,0.11913684755563736,-0.604464054107666,3619,0.010126504355320263,91.33075714111328,27.259748458862305,49.0,214.0,109.26113891601562,50.893611907958984,0.0,255.0,0.16410575572568034
malignant (28),malignant,data\raw\malignant\malignant (28).png,data\raw\malignant\malignant (28)_mask.png,data\selected\busi_subset\malignant\images\malignant_28.png,data\selected\busi_subset\malignant\masks\malignant_28_mask.png,470,562,264140,103.48855590820312,59.2051887512207,0.0,255.0,100.0,24.0,205.0,255.0,0.37081223726272583,-0.8427102565765381,8802,0.03332323767698948,101.49761199951172,34.1136589050293,39.0,234.0,103.55720520019531,59.88180160522461,0.0,255.0,0.0198884587171229
benign (297),benign,data\raw\benign\benign (297).png,data\raw\benign\benign (297)_mask.png,data\selected\busi_subset\benign\images\benign_297.png,data\selected\busi_subset\benign\masks\benign_297_mask.png,390,467,182130,83.55850982666016,62.16905975341797,0.0,255.0,77.0,9.0,196.0,255.0,0.47181013226509094,-0.8336167335510254,5433,0.029830340965244607,88.34419250488281,39.834205627441406,18.0,246.0,83.41136169433594,62.724124908447266,0.0,255.0,-0.059138595866975924
malignant (25),malignant,data\raw\malignant\malignant (25).png,data\raw\malignant\malignant (25)_mask.png,data\selected\busi_subset\malignant\images\malignant_25.png,data\selected\busi_subset\malignant\masks\malignant_25_mask.png,470,563,264610,87.91873168945312,71.24088287353516,0.0,255.0,71.0,3.0,210.0,255.0,0.48518919944763184,-1.0521910190582275,82133,0.31039265333887606,44.171356201171875,49.06425476074219,0.0,255.0,107.60944366455078,70.90116119384766,0.0,255.0,0.5895215633233664
malignant (176),malignant,data\raw\malignant\malignant (176).png,data\raw\malignant\malignant (176)_mask.png,data\selected\busi_subset\malignant\images\malignant_176.png,data\selected\busi_subset\malignant\masks\malignant_176_mask.png,594,640,380160,52.49629592895508,50.118106842041016,0.0,234.0,42.0,1.0,142.0,234.0,0.6044074296951294,-0.8558752536773682,40621,0.10685237794612795,49.29484939575195,34.935001373291016,0.0,186.0,52.879310607910156,51.62311553955078,0.0,234.0,0.06778570239045724
malignant (77),malignant,data\raw\malignant\malignant (77).png,data\raw\malignant\malignant (77)_mask.png,data\selected\busi_subset\malignant\images\malignant_77.png,data\selected\busi_subset\malignant\masks\malignant_77_mask.png,587,801,470187,75.69476318359375,54.3167610168457,0.0,255.0,65.0,10.0,179.0,255.0,0.709526538848877,-0.40241575241088867,52504,0.1116662094017912,95.86597442626953,32.32371520996094,19.0,216.0,73.15916442871094,55.96660232543945,0.0,255.0,-0.3103754693177396
benign (170),benign,data\raw\benign\benign (170).png,data\raw\benign\benign (170)_mask.png,data\selected\busi_subset\benign\images\benign_170.png,data\selected\busi_subset\benign\masks\benign_170_mask.png,468,564,263952,72.95368957519531,48.72509002685547,0.0,255.0,68.0,10.0,162.0,255.0,0.6124714016914368,-0.1707289218902588,12570,0.047622294962720496,16.07772445678711,23.677509307861328,0.0,203.0,75.79768371582031,47.9058723449707,0.0,255.0,0.7878863353536717
malignant (199),malignant,data\raw\malignant\malignant (199).png,data\raw\malignant\malignant (199)_mask.png,data\selected\busi_subset\malignant\images\malignant_199.png,data\selected\busi_subset\malignant\masks\malignant_199_mask.png,473,504,238392,109.86515808105469,53.42525100708008,0.0,255.0,109.0,37.0,197.0,255.0,0.24329262971878052,-1.0388606786727905,15851,0.06649132521225544,112.3595962524414,41.25282669067383,42.0,249.0,109.68749237060547,54.18366622924805,0.0,255.0,-0.024361062723213544
benign (234),benign,data\raw\benign\benign (234).png,data\raw\benign\benign (234)_mask.png,data\selected\busi_subset\benign\images\benign_234.png,data\selected\busi_subset\benign\masks\benign_234_mask.png,469,562,263578,57.75123977661133,51.11380386352539,0.0,255.0,39.0,9.0,166.0,255.0,1.2074214220046997,0.8362233638763428,33802,0.12824287307741922,75.32441711425781,35.5420036315918,8.0,255.0,55.16607666015625,52.52632522583008,0.0,255.0,-0.3654118920696571
