component,explained_variance_ratio,cumulative_explained_variance,retained
1,0.31994205847892276,0.31994205847892276,True
2,0.22836513052687687,0.5483071890057997,True
3,0.09891512968530453,0.6472223186911041,True
4,0.05971034731634776,0.7069326660074519,True
5,0.04649201480913349,0.7534246808165853,True
6,0.03488334300818165,0.788308023824767,True
7,0.02632484048598241,0.8146328643107493,True
8,0.02500451977322287,0.8396373840839721,True
9,0.021360183181827717,0.8609975672657999,True
10,0.017471153718414623,0.8784687209842146,True
11,0.015990567002486147,0.8944592879867007,True
12,0.015172227973272823,0.9096315159599735,True
13,0.014230710202259921,0.9238622261622335,True
14,0.010554350093086896,0.9344165762553204,True
15,0.009115788958536175,0.9435323652138565,True
16,0.007637162290192601,0.9511695275040492,True
17,0.007026339761243592,0.9581958672652927,False
18,0.005827529216510407,0.9640233964818031,False
19,0.005221235063187018,0.9692446315449902,False
20,0.00385875876699629,0.9731033903119864,False
21,0.003346459654438562,0.976449849966425,False
22,0.002963152300679802,0.9794130022671048,False
23,0.002541476043425965,0.9819544783105307,False
24,0.00246516027899976,0.9844196385895305,False
25,0.001941794946737029,0.9863614335362676,False
26,0.00175825445317649,0.988119687989444,False
27,0.0016063536610776456,0.9897260416505217,False
28,0.0013510210813300818,0.9910770627318518,False
29,0.0012335664138787368,0.9923106291457305,False
30,0.0010665196932443453,0.9933771488389749,False
31,0.0009735719364753339,0.9943507207754502,False
32,0.0008416541130423634,0.9951923748884925,False
33,0.0008103438191447532,0.9960027187076373,False
34,0.0006713223995975381,0.9966740411072349,False
35,0.0005487066810541497,0.997222747788289,False
36,0.0005421610724786541,0.9977649088607676,False
37,0.0004731363498539202,0.9982380452106215,False
38,0.0003184733194093618,0.9985565185300309,False
39,0.00028773423490023906,0.9988442527649312,False
40,0.00027960067522735316,0.9991238534401585,False
41,0.00021765766931163317,0.9993415111094701,False
42,0.00018104793092708001,0.9995225590403972,False
43,0.00017121792333500487,0.9996937769637322,False
44,0.0001359772378580629,0.9998297542015903,False
45,7.69893500801997e-05,0.9999067435516704,False
46,4.9923296050598387e-05,0.999956666847721,False
47,2.429504116152886e-05,0.9999809618888825,False
48,1.0363419857706803e-05,0.9999913253087402,False
49,4.720334578880731e-06,0.9999960456433191,False
50,3.188003412979593e-06,0.9999992336467322,False
51,6.157881890740348e-07,0.9999998494349213,False
52,1.5056507860976813e-07,0.9999999999999999,False
53,2.066507669271594e-33,0.9999999999999999,False
